Title,Due Date
"demo cần có kịch bản và phân công , quy trình POC","25 May"
"dựng lại n8n","20 May"
"xây app học tiếng Đài dựa trên đang có , phần viết chữ va fphats âm","20 May"
"Fix lỗi tải ảnh","18 May"
"vibe code xây dựng hệ thống giám sát network tại chổ","16 May"
"Bài nghiên cứu cho lĩnh vực BA + BA áp dụng AI tạp chí khoa học","13 May"
"mẹ Đào cho nuoccs ngọt khoán nọe về sau","13 May"
"nhắc 2 mẹ nước chè thay cho bò húc","13 May"
"bảo hiểm cho Na","13 May"
"webpush chọn mẫu tin gửi","11 May"
"css game cho mobile","9 May"
"Automation test cho report và thiết kế automation test cho các funtion khác ngoài report vì có data so sánh","8 May"
"phân quyền cho OA cho nhiều account","4 May"
"chao buoi sáng, chào mặt trời","26 Apr"
"đồ thị RAG cho DC","25 Apr"
"học figma","25 Apr"
"update doc webpush cho phần báo cáo","22 Apr"
"đang set up thì camp đang chạy thì lấy số nào","21 Apr"
"lộ trình mở rộng queue","20 Apr"
"tac dong len hieu suat gui tin cham lai","20 Apr"
"tac song len cg tg tinh toan","20 Apr"
"luật dữ liệu cho dc nghiên cứu","15 Apr"
"réarch cho journeys chung concept delivery","14 Apr"
"Làm hết cái đó thì thiếu nhiều % so vs đối thủ","14 Apr"
"Hide Control group như là 1 kênh nó chỉ lấy tổng kết quả","3 Apr"
"xem lại dữ liệu của NextCDP","2 Apr"
"pbi test","3 Apr"
"Line chart sửa lại","1 Apr"
"set up cho admin và operation","1 Apr"
"Lưu ý : Control group của 1 kênh và mọi kênh (của camp)","1 Apr"
"Kênh dự phòng có dữ liệu tổng hợp vào report ko ?","1 Apr"
"lấy dữ liệu thực của camp đang chạy có CG ,đưa qua để xem","1 Apr"
"View segment / segment analytics","31 Mar"
"bỏ phần trăm nới chi phí","31 Mar"
"Blacklist nằm trong Tệp dữ liệu từ ban đầu => chỉ bổ sung blacklist , uncriber có tự động update ?","31 Mar"
"Mua tập giấy note để viết và dán vào sổ","31 Mar"
"hover cho value","27 Mar"
"Giá trị + unit ( mảnh)","27 Mar"
"phân tích bán lẻ tựg sách vào áp dụng","25 Mar"
"thêm bảng level theo kênh có số liệu ở expand hiệu quả và chi tiết triển khai","23 Mar"
"web push cơ chế xóa ng sriber nhưng ko có hoạt động gì ko hoặ cko tiềm năng để giảm cost","19 Mar"
"quee tin nhắn , chờ đoiej trùng","18 Mar"
"Layuot động theo số metric có của mỗi kênh","18 Mar"
"Dữ liệu kênh nào thì chỉ số khớp vs metric đó","18 Mar"
"chọn 1 channel thì mọi chart liên quan đi theo channel đó","18 Mar"
"ko đổ tiền chạy , doanh thu mang về có ghi nhận ko ? nếu ko thì CG luoon bằng 0","12 Mar"
"Task S04 : gộp camp , so sánh vs tháng trước, so sánh vs KPI.","11 Mar"
"Những camp đang chạy mà ngừng","10 Mar"
"tất cả : ko ý nghĩa vì cg dc xem là bên đối chứng chứ camp ko tác động lên nó cộng nó vào là ko đúng. ngoài ra mỗi cam ko cộng vào","5 Mar"
"check lại chỉ số nào quan trọng","5 Mar"
"Im note soạn qna và comment","4 Mar"
"bảng hiệu quả chuyển đổi chỉ xem khi view 1 kênh","3 Mar"
"hiện tại đang filter riweng từng camp đảm bảo ko trùng nhưng all camp lấy trê. transaction id để gộp camp ko bị over lap dthu đó định rõ camp nào duy nhất","26 Feb"
"kế hoạch ngừa rủi ro","18 Feb"
"1 Camp lớn chia làm nhiều camp nhỏ Campaign-> Ads Set -> Ads Như Meta","9 Feb"
"UX /UI cho page báo cáo Camp","9 Feb"
"Thêm 1 phase có Camp lớn ( nhiều camp nhỏ mỗi kênh gộp về)","9 Feb"
"Đăng kí khóa học và báo leader","2 Feb"
"coi lại khai niệm user story","2 Feb"
"Lưu ý mấy cái chuông - theo trạng thái","30 Jan"
"Chuẩn bị các điểm cho webpush giai đoạn 1.3 phần preview theo trạng thái xem","29 Jan"
"Chuẩn bị cho phần report của giai đoạn sau data model của phần report chung","29 Jan"
"Ask Lành chỗ phân quyền namespace ( dùng chung giữa admin và mkter)","28 Jan"
"check onesignal - tên script có brand mình vào trong vấn đè bản quyền","26 Jan"
"Bảng so sánh tính năng hiện tại => to be => excel","23 Jan"
"Dữ liệu bên ngoài data set ví dụ thời tiết => đẩy thông tin","21 Jan"
"ngồi trước với dev giữa requirement","16 Jan"
"window date from selected event","14 Jan"
"upload cs","13 Jan"
"Customer Jouney cho Webpush","13 Jan"
"lá xạ đen","28 Dec 2025"
"notification cho dev , list","28 Dec 2025"
"chỉnh sửa tài liệu , review","28 Dec 2025"
"Kế hoạch làm việc tổ chức công việc BA","28 Dec 2025"
"return cust trong dax pattern","25 Oct 2025"
"Học thêm về AI và nghĩ về việ cphana tích dữ liệu chuyên cho Y tế","29 Sep 2025"
"tạo flash card - link y tế","13 Sep 2025"
"Săn bán template PBI","5 Jun 2025"
"gộp camp nhiều level hỏi a Hải","31 Mar"
"campaign đi theo sản phẩm hỏi a Hải","31 Mar"
"hover vào legend , nổi bật arc, ngược lại","28 Mar"
