Title,Due Date
"Cần chuẩn bị kịch bản demo, phân công nhiệm vụ và quy trình POC","25 May"
"Dựng lại workflow/hệ thống n8n","20 May"
"Xây dựng app học tiếng Đài Loan dựa trên nền tảng hiện có, bổ sung phần luyện viết chữ và phát âm","20 May"
"Fix lỗi tải ảnh","18 May"
"Vibe code: xây dựng hệ thống giám sát network tại chỗ","16 May"
"Chuẩn bị bài nghiên cứu về lĩnh vực BA và ứng dụng AI cho tạp chí khoa học","13 May"
"Nhắc mẹ Đào chuyển từ nước ngọt có ga sang lựa chọn lành mạnh hơn về sau","13 May"
"Nhắc hai mẹ dùng nước chè thay cho Bò Húc","13 May"
"Làm bảo hiểm cho Na","13 May"
"Webpush: chọn mẫu tin nhắn để gửi","11 May"
"Tối ưu CSS game cho mobile","9 May"
"Thiết kế automation test cho report và các function khác ngoài report, do có dữ liệu cần so sánh","8 May"
"Phân quyền OA cho nhiều account","4 May"
"Chào buổi sáng, chào mặt trời","26 Apr"
"Xây dựng đồ thị RAG cho DC","25 Apr"
"Học Figma","25 Apr"
"Cập nhật tài liệu Webpush cho phần báo cáo","22 Apr"
"Khi đang setup mà campaign đang chạy thì lấy số liệu nào?","21 Apr"
"Xây dựng lộ trình mở rộng queue","20 Apr"
"Phân tích tác động đến hiệu suất gửi tin khi tốc độ gửi bị chậm lại","20 Apr"
"Phân tích tác động và thời gian tính toán","20 Apr"
"Nghiên cứu luật dữ liệu cho DC","15 Apr"
"Research concept chung về journey delivery","14 Apr"
"Đánh giá mức độ thiếu hụt tính năng so với đối thủ sau khi hoàn thành các hạng mục hiện tại","14 Apr"
"Ẩn Control Group như một kênh riêng, chỉ lấy tổng kết quả","3 Apr"
"Xem lại dữ liệu của NextCDP","2 Apr"
"Test PBI","3 Apr"
"Sửa lại line chart","1 Apr"
"Setup cho Admin và Operation","1 Apr"
"Lưu ý: Control Group có thể áp dụng cho một kênh hoặc toàn bộ campaign","1 Apr"
"Kênh dự phòng có được tổng hợp dữ liệu vào report không?","1 Apr"
"Lấy dữ liệu thực của campaign đang chạy có Control Group để kiểm tra","1 Apr"
"Xem segment và phân tích segment analytics","31 Mar"
"Bỏ phần trăm ở phần chi phí","31 Mar"
"Blacklist nằm trong tệp dữ liệu ban đầu; chỉ bổ sung blacklist. Unsubscriber có tự động cập nhật không?","31 Mar"
"Mua tập giấy note để viết và dán vào sổ","31 Mar"
"Thêm hiệu ứng hover cho value","27 Mar"
"Hiển thị giá trị kèm đơn vị","27 Mar"
"Phân tích lĩnh vực bán lẻ sách để áp dụng vào bài toán hiện tại","25 Mar"
"Thêm bảng level theo kênh, có số liệu ở phần expand hiệu quả và chi tiết triển khai","23 Mar"
"Webpush: nghiên cứu cơ chế xóa subscriber không hoạt động hoặc không còn tiềm năng để giảm cost","19 Mar"
"Xử lý queue tin nhắn, trạng thái chờ đợi và trường hợp trùng lặp","18 Mar"
"Layout thay đổi linh hoạt theo số lượng metric của từng kênh","18 Mar"
"Dữ liệu của kênh nào thì chỉ số phải khớp với metric của kênh đó","18 Mar"
"Khi chọn một channel, tất cả chart liên quan phải thay đổi theo channel đó","18 Mar"
"Nếu không đổ tiền chạy campaign thì doanh thu mang về có được ghi nhận không? Nếu không thì Control Group luôn bằng 0","12 Mar"
"Task S04: Gộp campaign, so sánh với tháng trước và so sánh với KPI","11 Mar"
"Xử lý các campaign đang chạy nhưng bị dừng","10 Mar"
"Không nên cộng Control Group vào tổng vì đây là nhóm đối chứng, campaign không tác động lên nhóm này; ngoài ra không cộng Control Group của từng campaign vào tổng","5 Mar"
"Kiểm tra lại các chỉ số quan trọng","5 Mar"
"Ghi chú: soạn Q&A và comment","4 Mar"
"Bảng hiệu quả chuyển đổi chỉ hiển thị khi xem theo một kênh","3 Mar"
"Hiện tại đang filter riêng từng campaign để tránh trùng. Với All Campaign, cần dùng transaction ID để gộp campaign, tránh overlap doanh thu và xác định rõ doanh thu thuộc campaign nào","26 Feb"
"Lập kế hoạch phòng ngừa rủi ro","18 Feb"
"Mô hình một campaign lớn chia thành nhiều campaign nhỏ: Campaign → Ads Set → Ads, tương tự Meta","9 Feb"
"Thiết kế UX/UI cho trang báo cáo campaign","9 Feb"
"Thêm một phase có campaign lớn, gồm nhiều campaign nhỏ theo từng kênh và gộp về campaign tổng","9 Feb"
"Đăng ký khóa học và báo leader","2 Feb"
"Xem lại khái niệm User Story","2 Feb"
"Lưu ý các biểu tượng chuông theo trạng thái","30 Jan"
"Chuẩn bị các điểm cho Webpush giai đoạn 1.3, phần preview theo trạng thái","29 Jan"
"Chuẩn bị data model cho phần report chung ở giai đoạn sau","29 Jan"
"Hỏi anh Lành về phân quyền namespace dùng chung giữa Admin và Marketer","28 Jan"
"Kiểm tra OneSignal: tên script có brand của mình hay không và vấn đề bản quyền","26 Jan"
"Lập bảng so sánh tính năng hiện tại, trạng thái To-be và export ra Excel","23 Jan"
"Nghiên cứu dữ liệu bên ngoài dataset, ví dụ thời tiết, để đẩy thông tin phù hợp","21 Jan"
"Làm việc trực tiếp với dev để làm rõ requirement","16 Jan"
"Xác định window date từ selected event","14 Jan"
"Upload CS","13 Jan"
"Thiết kế Customer Journey cho Webpush","13 Jan"
"Lá xạ đen","28 Dec 2025"
"Thông báo cho dev và danh sách liên quan","28 Dec 2025"
"Chỉnh sửa và review tài liệu","28 Dec 2025"
"Lập kế hoạch làm việc và tổ chức công việc BA","28 Dec 2025"
"Nghiên cứu return customer trong DAX pattern","25 Oct 2025"
"Học thêm về AI và định hướng phân tích dữ liệu chuyên sâu cho lĩnh vực y tế","29 Sep 2025"
"Tạo flashcard và tổng hợp link tài liệu về y tế","13 Sep 2025"
"Tìm và săn bán template PBI","5 Jun 2025"
"Hỏi anh Hải về việc gộp campaign nhiều level","31 Mar"
"Hỏi anh Hải về việc campaign đi theo sản phẩm","31 Mar"
"Hover vào legend để làm nổi bật arc và xử lý chiều ngược lại","28 Mar"
